sample,unit
25454.7711154094,ns
25454.7711154094,ns
25960.8156028369,ns
26331.914893617,ns
26500.5963894262,ns
26905.4319793681,ns
27672.9327852998,ns
28431.999516441,ns
28558.5106382979,ns
28727.192134107,ns
28862.1373307544,ns
28891.3754566946,ns
28895.8736299162,ns
29401.9181173437,ns
29781.4514829143,ns
30346.5344938749,ns
30498.3478401032,ns
30796.3518160327,ns
30835.7108317215,ns
31004.3923275306,ns
31156.2056737589,ns
31215.2441972921,ns
31341.7553191489,ns
31988.3677197507,ns
32691.2072856222,ns
32733.3776595745,ns
32741.8117343649,ns
32876.7569310123,ns
32910.4932301741,ns
33180.3836234687,ns
33281.5925209542,ns
33349.0651192779,ns
33365.9332688588,ns
34167.1703739523,ns
34259.9451966473,ns
34361.1540941328,ns
34889.6894476682,ns
34934.671179884,ns
34968.4074790458,ns
35103.3526756931,ns
35137.0889748549,ns
35474.4519664732,ns
35676.8697614442,ns
36149.1779497099,ns
36317.859445519,ns
36486.5409413282,ns
36756.4313346228,ns
36891.3765312702,ns
36891.3765312702,ns
36908.2446808511,ns
37431.1573178594,ns
37582.9706640877,ns
37633.5751128304,ns
37847.2383408554,ns
38207.0921985816,ns
38274.5647969052,ns
38384.2077691812,ns
38510.718891038,ns
39058.9337524178,ns
39691.4893617021,ns
39944.5116054159,ns
39995.1160541586,ns
40062.5886524823,ns
40354.9699118848,ns
40450.5560928433,ns
40577.0672147002,ns
41336.1339458414,ns
41378.3043197937,ns
41673.4969374597,ns
41715.667311412,ns
41850.6125080593,ns
41873.1033741672,ns
41918.085106383,ns
42559.0747904578,ns
42615.3019557275,ns
43706.10896196,ns
43807.3178594455,ns
44077.2082527402,ns
44583.2527401677,ns
45190.5061250806,ns
46000.1773049646,ns
